iter	RMSE
0	11.94793186
1	11.40464224
2	10.91395555
3	10.4699713
4	10.06373955
5	9.687518124
6	9.348705343
7	9.047815992
8	8.767692873
9	8.518188103
10	8.293053202
11	8.083488235
12	7.903523699
13	7.743270584
14	7.600964452
15	7.474517967
16	7.351665799
17	7.250163543
18	7.155335693
19	7.072591101
20	6.997906763
21	6.930519737
22	6.874040687
23	6.822119444
24	6.777278577
25	6.7332742
26	6.693675756
27	6.661626747
28	6.628532542
29	6.597182811
30	6.569897113
31	6.547716105
32	6.527839117
33	6.508439035
34	6.492971281
35	6.476729479
36	6.463204469
37	6.452327905
38	6.440845488
39	6.428563029
40	6.417014654
41	6.407131528
42	6.398883866
43	6.391371097
44	6.384769287
45	6.375999441
46	6.369221174
47	6.36334989
48	6.357093852
49	6.35249393
50	6.347663148
51	6.343321944
52	6.337538617
53	6.332953859
54	6.328681497
55	6.32372411
56	6.319058342
57	6.314982027
58	6.310654741
59	6.306571189
60	6.304653552
61	6.301242002
62	6.297447769
63	6.29347325
64	6.2901778
65	6.287167619
66	6.284437477
67	6.281471178
68	6.277725702
69	6.275412756
70	6.272094051
71	6.269599387
72	6.267921009
73	6.264594323
74	6.262227719
75	6.261762491
76	6.259021685
77	6.256970355
78	6.254792953
79	6.252623689
80	6.250044664
81	6.248001504
82	6.247566699
83	6.247112888
84	6.244709666
85	6.242519661
86	6.24030131
87	6.235136175
88	6.233472791
89	6.23293327
90	6.230872426
91	6.227610854
92	6.225923509
93	6.223930591
94	6.223465204
95	6.222966823
96	6.219932619
97	6.219455615
98	6.219062079
99	6.217104365
100	6.216669735
101	6.213760741
102	6.212047962
103	6.210036747
104	6.208152993
105	6.206969185
106	6.204130022
107	6.202572156
108	6.200973528
109	6.19847632
110	6.196759583
111	6.196293011
112	6.194539338
113	6.192856575
114	6.190924083
115	6.188358783
116	6.187225844
117	6.185832527
118	6.18479413
119	6.18327155
120	6.181720843
121	6.18050951
122	6.179528139
123	6.177912172
124	6.17744196
125	6.175746009
126	6.174545325
127	6.174082182
128	6.173623516
129	6.173157038
130	6.171483371
131	6.171150109
132	6.169042203
133	6.167958302
134	6.167628505
135	6.167164801
136	6.166769321
137	6.164718382
138	6.16422977
139	6.163837378
140	6.162240189
141	6.161850543
142	6.159296231
143	6.157809392
144	6.156019558
145	6.155575834
146	6.154328627
147	6.151809079
148	6.150531985
149	6.14915752
150	6.14740717
151	6.145859945
152	6.145412075
153	6.143813762
154	6.142510764
155	6.140995753
156	6.14043959
157	6.137932153
158	6.137420114
159	6.136938039
160	6.135432761
161	6.134053429
162	6.133480556
163	6.132955251
164	6.131172206
165	6.130697903
166	6.129848411
167	6.127547937
168	6.127070381
169	6.125608488
170	6.124844079
171	6.1238882
172	6.123141754
173	6.122618516
174	6.120430866
175	6.119741097
176	6.117999886
177	6.11643152
178	6.114960767
179	6.114460454
180	6.112030036
181	6.109845469
182	6.108441054
183	6.10794893
184	6.106363774
185	6.105604598
186	6.104096592
187	6.10277289
188	6.101258024
189	6.10052463
190	6.10003755
191	6.099559885
192	6.098647554
193	6.096567685
194	6.095811637
195	6.094212999
196	6.092678113
197	6.092210858
198	6.091748826
199	6.08982158
200	6.088371701
201	6.08651716
202	6.084987198
203	6.083876205
204	6.082125524
205	6.080484698
206	6.079517679
207	6.079063232
208	6.078617529
209	6.077159755
210	6.076005958
211	6.075565706
212	6.074967355
213	6.074527218
214	6.072640304
215	6.069966882
216	6.068663036
217	6.067478892
218	6.067048254
219	6.066147979
220	6.064730201
221	6.064305078
222	6.062990987
223	6.061752489
224	6.061331158
225	6.060656439
226	6.059626537
227	6.0590726
228	6.058657665
229	6.058245557
230	6.05748603
231	6.057079848
232	6.055533592
233	6.05381395
234	6.05228989
235	6.051072133
236	6.049988761
237	6.048403314
238	6.047669921
239	6.047266845
240	6.046868178
241	6.046472691
242	6.042480333
243	6.041896097
244	6.040644933
245	6.039932462
246	6.038965436
247	6.038198913
248	6.037296189
249	6.035882425
250	6.035490585
251	6.034927243
252	6.034538446
253	6.033362574
254	6.03231575
255	6.031930172
256	6.03087626
257	6.029717801
258	6.028353771
259	6.027971703
260	6.027593055
261	6.026599794
262	6.026223776
263	6.025179512
264	6.024611508
265	6.024238209
266	6.023674055
267	6.022721317
268	6.022350421
269	6.021141246
270	6.019628579
271	6.019261051
272	6.018396144
273	6.017914657
274	6.016844641
275	6.015584977
276	6.014441004
277	6.014075812
278	6.013390489
279	6.012444424
280	6.012081524
281	6.011004833
282	6.010157991
283	6.009797398
284	6.009439522
285	6.00908429
286	6.007962678
287	6.006603245
