iter	Passed	Remaining
0	75	29972
1	83	16511
2	91	11995
3	98	9712
4	108	8506
5	116	7580
6	124	6927
7	132	6422
8	138	5989
9	146	5678
10	154	5407
11	163	5247
12	174	5140
13	183	5014
14	191	4864
15	198	4725
16	206	4611
17	214	4525
18	222	4424
19	229	4321
20	236	4233
21	243	4148
22	250	4077
23	257	4003
24	264	3942
25	272	3881
26	279	3830
27	286	3775
28	293	3725
29	301	3686
30	308	3640
31	316	3608
32	324	3574
33	331	3537
34	338	3500
35	345	3466
36	352	3434
37	360	3404
38	368	3380
39	376	3356
40	383	3329
41	390	3301
42	398	3276
43	405	3256
44	413	3235
45	422	3223
46	430	3202
47	437	3181
48	445	3162
49	452	3141
50	460	3122
51	467	3104
52	476	3090
53	483	3072
54	491	3054
55	498	3035
56	506	3020
57	514	3007
58	522	2994
59	541	3041
60	554	3055
61	577	3119
62	584	3098
63	592	3080
64	600	3065
65	607	3046
66	615	3033
67	624	3019
68	632	3006
69	640	2991
70	649	2979
71	658	2970
72	667	2960
73	676	2952
74	685	2945
75	695	2936
76	703	2924
77	713	2918
78	723	2911
79	734	2908
80	743	2900
81	756	2906
82	768	2907
83	777	2897
84	787	2891
85	796	2881
86	807	2876
87	819	2878
88	829	2869
89	838	2861
90	848	2851
91	858	2845
92	868	2840
93	879	2835
94	890	2831
95	900	2824
96	911	2819
97	922	2813
98	930	2802
99	941	2796
100	951	2787
101	959	2775
102	969	2765
103	978	2756
104	987	2745
105	995	2732
106	1005	2725
107	1014	2715
108	1023	2703
109	1033	2695
110	1042	2684
111	1051	2674
112	1061	2668
113	1070	2656
114	1078	2643
115	1086	2630
116	1094	2618
117	1102	2606
118	1110	2594
119	1118	2582
120	1127	2571
121	1135	2560
122	1144	2548
123	1152	2538
124	1162	2530
125	1173	2523
126	1184	2517
127	1193	2508
128	1204	2502
129	1214	2493
130	1224	2486
131	1234	2479
132	1244	2470
133	1253	2461
134	1262	2450
135	1271	2441
136	1281	2432
137	1290	2421
138	1300	2413
139	1310	2405
140	1318	2393
141	1327	2383
142	1336	2373
143	1345	2364
144	1355	2355
145	1365	2347
146	1374	2337
147	1383	2327
148	1392	2317
149	1402	2309
150	1409	2296
151	1417	2285
152	1426	2275
153	1434	2263
154	1443	2254
155	1452	2244
156	1460	2232
157	1469	2222
158	1477	2212
159	1487	2202
160	1495	2191
161	1503	2181
162	1512	2171
163	1521	2161
164	1529	2150
165	1538	2140
166	1547	2131
167	1558	2124
168	1567	2114
169	1576	2104
170	1584	2094
171	1593	2084
172	1602	2075
173	1611	2064
174	1619	2054
175	1628	2045
176	1637	2035
177	1646	2025
178	1656	2017
179	1664	2006
180	1672	1995
181	1680	1985
182	1690	1977
183	1699	1967
184	1708	1957
185	1718	1949
186	1725	1938
187	1735	1929
188	1745	1921
189	1755	1912
190	1764	1903
191	1773	1893
192	1781	1883
193	1791	1874
194	1799	1864
195	1809	1855
196	1819	1847
197	1828	1837
198	1836	1827
199	1845	1817
200	1854	1808
201	1863	1798
202	1871	1788
203	1879	1778
204	1887	1768
205	1897	1758
206	1905	1749
207	1914	1739
208	1924	1731
209	1933	1721
210	1941	1711
211	1950	1702
212	1959	1693
213	1969	1684
214	1977	1674
215	1986	1664
216	1995	1655
217	2003	1645
218	2011	1635
219	2020	1625
220	2028	1615
221	2038	1606
222	2046	1596
223	2055	1587
224	2064	1578
225	2073	1569
226	2081	1559
227	2090	1549
228	2099	1540
229	2108	1530
230	2116	1520
231	2124	1511
232	2134	1502
233	2142	1492
234	2150	1482
235	2159	1473
236	2167	1463
237	2177	1454
238	2185	1444
239	2194	1435
240	2201	1425
241	2208	1414
242	2217	1405
243	2226	1395
244	2234	1386
245	2244	1377
246	2252	1367
247	2262	1359
248	2270	1349
249	2278	1339
250	2287	1330
251	2296	1321
252	2304	1311
253	2312	1301
254	2321	1292
255	2330	1283
256	2339	1274
257	2348	1265
258	2356	1255
259	2365	1246
260	2375	1237
261	2384	1228
262	2393	1219
263	2401	1210
264	2411	1201
265	2419	1191
266	2427	1182
267	2437	1173
268	2445	1163
269	2455	1154
270	2465	1146
271	2473	1136
272	2482	1127
273	2492	1118
274	2501	1109
275	2509	1100
276	2517	1090
277	2525	1081
278	2535	1072
279	2544	1063
280	2553	1054
281	2561	1044
282	2572	1036
283	2580	1026
284	2590	1017
285	2599	1009
286	2609	1000
287	2618	991
288	2628	982
289	2636	972
290	2645	963
291	2653	954
292	2662	945
293	2672	936
294	2680	926
295	2688	917
296	2697	908
297	2706	899
298	2715	889
299	2723	880
300	2734	872
301	2743	862
302	2752	854
303	2762	845
304	2772	836
305	2780	827
306	2789	817
307	2798	808
308	2807	799
309	2815	790
310	2824	781
311	2833	771
312	2840	762
313	2850	753
314	2859	744
315	2868	735
316	2877	726
317	2887	717
318	2895	708
319	2905	699
320	2915	690
321	2922	680
322	2932	671
323	2940	662
324	2948	653
325	2957	644
326	2965	634
327	2974	625
328	2983	616
329	2992	607
330	3001	598
331	3009	589
332	3018	580
333	3027	571
334	3034	561
335	3043	552
336	3051	543
337	3060	534
338	3068	524
339	3076	515
340	3087	507
341	3096	497
342	3104	488
343	3113	479
344	3122	470
345	3135	462
346	3143	452
347	3151	443
348	3160	434
349	3169	425
350	3178	416
351	3186	407
352	3195	398
353	3205	389
354	3214	380
355	3224	371
356	3233	362
357	3241	353
358	3249	343
359	3258	334
360	3267	325
361	3276	316
362	3284	307
363	3294	298
364	3302	289
365	3310	280
366	3319	271
367	3328	262
368	3336	253
369	3346	244
370	3356	235
371	3366	226
372	3375	217
373	3383	208
374	3392	199
375	3401	190
376	3410	180
377	3419	171
378	3428	162
379	3436	153
380	3444	144
381	3454	135
382	3462	126
383	3470	117
384	3479	108
385	3488	99
386	3497	90
387	3522	81
388	3530	72
389	3540	63
390	3551	54
391	3560	45
392	3570	36
393	3579	27
394	3589	18
395	3599	9
396	3608	0
